"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"0","0.3451","0.3451","0.3451"
"1","0.5637","0.5637","0.5637"
"2","0.6613","0.6613","0.6613"
"3","0.7176","0.7176","0.7176"
"4","0.7197","0.7197","0.7197"
"5","0.7468","0.7468","0.7468"
"6","0.7487","0.7487","0.7487"
"7","0.797","0.797","0.797"
"8","0.7994","0.7994","0.7994"
"9","0.8034","0.8034","0.8034"
"10","0.8393","0.8393","0.8393"
"11","0.865","0.865","0.865"
"12","0.8773","0.8773","0.8773"
"13","0.8759","0.8759","0.8759"
"14","0.8871","0.8871","0.8871"
"15","0.8865","0.8865","0.8865"
"16","0.8759","0.8759","0.8759"
"17","0.8879","0.8879","0.8879"
"18","0.8987","0.8987","0.8987"
"19","0.8988","0.8988","0.8988"
"20","0.8993","0.8993","0.8993"
"21","0.9076","0.9076","0.9076"
"22","0.9074","0.9074","0.9074"
"23","0.9111","0.9111","0.9111"
"24","0.9102","0.9102","0.9102"
"25","0.9188","0.9188","0.9188"
"26","0.9186","0.9186","0.9186"
"27","0.9269","0.9269","0.9269"
"28","0.9272","0.9272","0.9272"
"29","0.9281","0.9281","0.9281"
"30","0.9291","0.9291","0.9291"
"31","0.93","0.93","0.93"
"32","0.9304","0.9304","0.9304"
"33","0.9318","0.9318","0.9318"
"34","0.9321","0.9321","0.9321"
"35","0.9319","0.9319","0.9319"
"36","0.9329","0.9329","0.9329"
"37","0.9355","0.9355","0.9355"
"38","0.9381","0.9381","0.9381"
"39","0.9391","0.9391","0.9391"
"40","0.9381","0.9381","0.9381"
"41","0.9387","0.9387","0.9387"
"42","0.9382","0.9382","0.9382"
"43","0.946","0.946","0.946"
"44","0.9442","0.9442","0.9442"
"45","0.9471","0.9471","0.9471"
"46","0.9441","0.9441","0.9441"
"47","0.9485","0.9485","0.9485"
"48","0.9471","0.9471","0.9471"
"49","0.9496","0.9496","0.9496"
"50","0.9482","0.9482","0.9482"
"51","0.9517","0.9517","0.9517"
"52","0.9517","0.9517","0.9517"
"53","0.9518","0.9518","0.9518"
"54","0.9498","0.9498","0.9498"
"55","0.9513","0.9513","0.9513"
"56","0.9547","0.9547","0.9547"
"57","0.9541","0.9541","0.9541"
"58","0.9559","0.9559","0.9559"
"59","0.9513","0.9513","0.9513"
"60","0.9554","0.9554","0.9554"
"61","0.9537","0.9537","0.9537"
"62","0.9562","0.9562","0.9562"
"63","0.9562","0.9562","0.9562"
"64","0.9606","0.9606","0.9606"
"65","0.9606","0.9606","0.9606"
"66","0.9612","0.9612","0.9612"
"67","0.9604","0.9604","0.9604"
"68","0.9568","0.9568","0.9568"
"69","0.9615","0.9615","0.9615"
"70","0.9612","0.9612","0.9612"
"71","0.9605","0.9605","0.9605"
"72","0.9594","0.9594","0.9594"
"73","0.9627","0.9627","0.9627"
"74","0.9632","0.9632","0.9632"
"75","0.964","0.964","0.964"
"76","0.9627","0.9627","0.9627"
"77","0.964","0.964","0.964"
"78","0.9623","0.9623","0.9623"
"79","0.9637","0.9637","0.9637"
"80","0.9649","0.9649","0.9649"
"81","0.9646","0.9646","0.9646"
"82","0.9658","0.9658","0.9658"
"83","0.9648","0.9648","0.9648"
"84","0.9655","0.9655","0.9655"
"85","0.966","0.966","0.966"
"86","0.9664","0.9664","0.9664"
"87","0.9664","0.9664","0.9664"
"88","0.9665","0.9665","0.9665"
"89","0.9675","0.9675","0.9675"
"90","0.9663","0.9663","0.9663"
"91","0.9679","0.9679","0.9679"
"92","0.9687","0.9687","0.9687"
"93","0.9693","0.9693","0.9693"
"94","0.9693","0.9693","0.9693"
"95","0.9689","0.9689","0.9689"
"96","0.9694","0.9694","0.9694"
"97","0.9697","0.9697","0.9697"
"98","0.9696","0.9696","0.9696"
"99","0.9685","0.9685","0.9685"
"100","0.9697","0.9697","0.9697"
"101","0.9694","0.9694","0.9694"
"102","0.9702","0.9702","0.9702"
"103","0.9706","0.9706","0.9706"
"104","0.971","0.971","0.971"
"105","0.9705","0.9705","0.9705"
"106","0.9707","0.9707","0.9707"
"107","0.9715","0.9715","0.9715"
"108","0.971","0.971","0.971"
"109","0.9713","0.9713","0.9713"
"110","0.9722","0.9722","0.9722"
"111","0.971","0.971","0.971"
"112","0.9715","0.9715","0.9715"
"113","0.9716","0.9716","0.9716"
"114","0.9723","0.9723","0.9723"
"115","0.9714","0.9714","0.9714"
"116","0.9728","0.9728","0.9728"
"117","0.9736","0.9736","0.9736"
"118","0.9725","0.9725","0.9725"
"119","0.9728","0.9728","0.9728"
"120","0.9739","0.9739","0.9739"
"121","0.9737","0.9737","0.9737"
"122","0.9732","0.9732","0.9732"
"123","0.9749","0.9749","0.9749"
"124","0.975","0.975","0.975"
"125","0.9741","0.9741","0.9741"
"126","0.9743","0.9743","0.9743"
"127","0.9752","0.9752","0.9752"
"128","0.9741","0.9741","0.9741"
"129","0.9757","0.9757","0.9757"
"130","0.9741","0.9741","0.9741"
"131","0.976","0.976","0.976"
"132","0.9746","0.9746","0.9746"
"133","0.9762","0.9762","0.9762"
"134","0.9769","0.9769","0.9769"
"135","0.9749","0.9749","0.9749"
"136","0.9771","0.9771","0.9771"
"137","0.9742","0.9742","0.9742"
"138","0.9762","0.9762","0.9762"
"139","0.9769","0.9769","0.9769"
"140","0.9768","0.9768","0.9768"
"141","0.9765","0.9765","0.9765"
"142","0.9755","0.9755","0.9755"
"143","0.978","0.978","0.978"
"144","0.9778","0.9778","0.9778"
"145","0.9775","0.9775","0.9775"
"146","0.9775","0.9775","0.9775"
"147","0.9776","0.9776","0.9776"
"148","0.9764","0.9764","0.9764"
"149","0.977","0.977","0.977"
"150","0.9783","0.9783","0.9783"
"151","0.9768","0.9768","0.9768"
"152","0.9751","0.9751","0.9751"
"153","0.9768","0.9768","0.9768"
"154","0.9787","0.9787","0.9787"
"155","0.9783","0.9783","0.9783"
"156","0.9784","0.9784","0.9784"
"157","0.9791","0.9791","0.9791"
"158","0.9791","0.9791","0.9791"
"159","0.9777","0.9777","0.9777"
"160","0.9786","0.9786","0.9786"
"161","0.9784","0.9784","0.9784"
"162","0.9792","0.9792","0.9792"
"163","0.9794","0.9794","0.9794"
"164","0.9788","0.9788","0.9788"
"165","0.978","0.978","0.978"
"166","0.9792","0.9792","0.9792"
"167","0.9798","0.9798","0.9798"
"168","0.9793","0.9793","0.9793"
"169","0.979","0.979","0.979"
"170","0.9802","0.9802","0.9802"
"171","0.9803","0.9803","0.9803"
"172","0.9806","0.9806","0.9806"
"173","0.9799","0.9799","0.9799"
"174","0.9798","0.9798","0.9798"
"175","0.9804","0.9804","0.9804"
"176","0.9804","0.9804","0.9804"
"177","0.9795","0.9795","0.9795"
"178","0.9804","0.9804","0.9804"
"179","0.9799","0.9799","0.9799"
"180","0.9808","0.9808","0.9808"
"181","0.9799","0.9799","0.9799"
"182","0.9808","0.9808","0.9808"
"183","0.9803","0.9803","0.9803"
"184","0.9814","0.9814","0.9814"
"185","0.9795","0.9795","0.9795"
"186","0.9798","0.9798","0.9798"
"187","0.9794","0.9794","0.9794"
"188","0.9799","0.9799","0.9799"
"189","0.98","0.98","0.98"
"190","0.9807","0.9807","0.9807"
"191","0.9811","0.9811","0.9811"
"192","0.9806","0.9806","0.9806"
"193","0.9806","0.9806","0.9806"
"194","0.9815","0.9815","0.9815"
"195","0.9812","0.9812","0.9812"
"196","0.9816","0.9816","0.9816"
"197","0.9808","0.9808","0.9808"
"198","0.9819","0.9819","0.9819"
"199","0.9817","0.9817","0.9817"
"200","0.981","0.981","0.981"
"201","0.9818","0.9818","0.9818"
"202","0.9811","0.9811","0.9811"
"203","0.9822","0.9822","0.9822"
"204","0.9824","0.9824","0.9824"
"205","0.9828","0.9828","0.9828"
"206","0.9822","0.9822","0.9822"
"207","0.983","0.983","0.983"
"208","0.9824","0.9824","0.9824"
"209","0.9823","0.9823","0.9823"
"210","0.9826","0.9826","0.9826"
"211","0.9828","0.9828","0.9828"
"212","0.9811","0.9811","0.9811"
"213","0.9827","0.9827","0.9827"
"214","0.9813","0.9813","0.9813"
"215","0.9821","0.9821","0.9821"
"216","0.9814","0.9814","0.9814"
"217","0.9819","0.9819","0.9819"
"218","0.9814","0.9814","0.9814"
"219","0.9823","0.9823","0.9823"
"220","0.9823","0.9823","0.9823"
"221","0.9823","0.9823","0.9823"
"222","0.9823","0.9823","0.9823"
"223","0.9832","0.9832","0.9832"
"224","0.9827","0.9827","0.9827"
"225","0.9835","0.9835","0.9835"
"226","0.9824","0.9824","0.9824"
"227","0.9834","0.9834","0.9834"
"228","0.9836","0.9836","0.9836"
"229","0.983","0.983","0.983"
"230","0.9829","0.9829","0.9829"
"231","0.9835","0.9835","0.9835"
"232","0.9823","0.9823","0.9823"
"233","0.9824","0.9824","0.9824"
"234","0.9831","0.9831","0.9831"
"235","0.9837","0.9837","0.9837"
"236","0.9834","0.9834","0.9834"
"237","0.9834","0.9834","0.9834"
"238","0.9842","0.9842","0.9842"
"239","0.9838","0.9838","0.9838"
"240","0.9839","0.9839","0.9839"
"241","0.9834","0.9834","0.9834"
"242","0.9842","0.9842","0.9842"
"243","0.9824","0.9824","0.9824"
"244","0.9836","0.9836","0.9836"
"245","0.9835","0.9835","0.9835"
"246","0.9837","0.9837","0.9837"
"247","0.9834","0.9834","0.9834"
"248","0.9831","0.9831","0.9831"
"249","0.9833","0.9833","0.9833"
"250","0.984","0.984","0.984"
"251","0.984","0.984","0.984"
"252","0.9841","0.9841","0.9841"
"253","0.9842","0.9842","0.9842"
"254","0.9842","0.9842","0.9842"
"255","0.9838","0.9838","0.9838"
"256","0.9841","0.9841","0.9841"
"257","0.9849","0.9849","0.9849"
"258","0.9829","0.9829","0.9829"
"259","0.9847","0.9847","0.9847"
"260","0.9835","0.9835","0.9835"
"261","0.9844","0.9844","0.9844"
"262","0.9844","0.9844","0.9844"
"263","0.984","0.984","0.984"
"264","0.9842","0.9842","0.9842"
"265","0.9848","0.9848","0.9848"
"266","0.9847","0.9847","0.9847"
"267","0.9839","0.9839","0.9839"
"268","0.9841","0.9841","0.9841"
"269","0.9841","0.9841","0.9841"
"270","0.9833","0.9833","0.9833"
"271","0.9847","0.9847","0.9847"
"272","0.9845","0.9845","0.9845"
"273","0.9839","0.9839","0.9839"
"274","0.9837","0.9837","0.9837"
"275","0.9842","0.9842","0.9842"
"276","0.9832","0.9832","0.9832"
"277","0.9853","0.9853","0.9853"
"278","0.9849","0.9849","0.9849"
"279","0.985","0.985","0.985"
"280","0.9856","0.9856","0.9856"
"281","0.9852","0.9852","0.9852"
"282","0.985","0.985","0.985"
"283","0.986","0.986","0.986"
"284","0.9859","0.9859","0.9859"
"285","0.9843","0.9843","0.9843"
"286","0.9857","0.9857","0.9857"
"287","0.9855","0.9855","0.9855"
"288","0.9837","0.9837","0.9837"
"289","0.9853","0.9853","0.9853"
"290","0.9862","0.9862","0.9862"
"291","0.9848","0.9848","0.9848"
"292","0.9843","0.9843","0.9843"
"293","0.9856","0.9856","0.9856"
"294","0.9862","0.9862","0.9862"
"295","0.9855","0.9855","0.9855"
"296","0.9845","0.9845","0.9845"
"297","0.9858","0.9858","0.9858"
"298","0.9854","0.9854","0.9854"
"299","0.9848","0.9848","0.9848"
"300","0.9851","0.9851","0.9851"
"301","0.9858","0.9858","0.9858"
"302","0.9855","0.9855","0.9855"
"303","0.9862","0.9862","0.9862"
"304","0.9862","0.9862","0.9862"
"305","0.9869","0.9869","0.9869"
"306","0.9859","0.9859","0.9859"
"307","0.9867","0.9867","0.9867"
"308","0.9865","0.9865","0.9865"
"309","0.9858","0.9858","0.9858"
"310","0.9848","0.9848","0.9848"
"311","0.9851","0.9851","0.9851"
"312","0.9856","0.9856","0.9856"
"313","0.9861","0.9861","0.9861"
"314","0.9861","0.9861","0.9861"
"315","0.9853","0.9853","0.9853"
"316","0.9864","0.9864","0.9864"
"317","0.9863","0.9863","0.9863"
"318","0.9858","0.9858","0.9858"
"319","0.9856","0.9856","0.9856"
"320","0.9861","0.9861","0.9861"
"321","0.9861","0.9861","0.9861"
"322","0.9865","0.9865","0.9865"
"323","0.9855","0.9855","0.9855"
"324","0.986","0.986","0.986"
"325","0.9856","0.9856","0.9856"
"326","0.9862","0.9862","0.9862"
"327","0.9855","0.9855","0.9855"
"328","0.986","0.986","0.986"
"329","0.9859","0.9859","0.9859"
"330","0.9871","0.9871","0.9871"
"331","0.9869","0.9869","0.9869"
"332","0.9871","0.9871","0.9871"
"333","0.9863","0.9863","0.9863"
"334","0.9869","0.9869","0.9869"
"335","0.987","0.987","0.987"
"336","0.9863","0.9863","0.9863"
"337","0.9864","0.9864","0.9864"
"338","0.9857","0.9857","0.9857"
"339","0.9876","0.9876","0.9876"
"340","0.9861","0.9861","0.9861"
"341","0.9871","0.9871","0.9871"
"342","0.9859","0.9859","0.9859"
"343","0.9864","0.9864","0.9864"
"344","0.9867","0.9867","0.9867"
"345","0.9866","0.9866","0.9866"
"346","0.9872","0.9872","0.9872"
"347","0.9861","0.9861","0.9861"
"348","0.9875","0.9875","0.9875"
"349","0.9862","0.9862","0.9862"
"350","0.9872","0.9872","0.9872"
"351","0.9859","0.9859","0.9859"
"352","0.9863","0.9863","0.9863"
"353","0.9862","0.9862","0.9862"
"354","0.9865","0.9865","0.9865"
"355","0.9861","0.9861","0.9861"
"356","0.9863","0.9863","0.9863"
"357","0.9863","0.9863","0.9863"
"358","0.9873","0.9873","0.9873"
"359","0.987","0.987","0.987"
"360","0.9868","0.9868","0.9868"
"361","0.9863","0.9863","0.9863"
"362","0.9872","0.9872","0.9872"
"363","0.9875","0.9875","0.9875"
"364","0.9854","0.9854","0.9854"
"365","0.9866","0.9866","0.9866"
"366","0.9873","0.9873","0.9873"
"367","0.9866","0.9866","0.9866"
"368","0.9868","0.9868","0.9868"
"369","0.9872","0.9872","0.9872"
"370","0.9866","0.9866","0.9866"
"371","0.9872","0.9872","0.9872"
"372","0.9872","0.9872","0.9872"
"373","0.9862","0.9862","0.9862"
"374","0.9869","0.9869","0.9869"
"375","0.9861","0.9861","0.9861"
"376","0.9858","0.9858","0.9858"
"377","0.9864","0.9864","0.9864"
"378","0.987","0.987","0.987"
"379","0.9862","0.9862","0.9862"
"380","0.9872","0.9872","0.9872"
"381","0.9858","0.9858","0.9858"
"382","0.9864","0.9864","0.9864"
"383","0.9865","0.9865","0.9865"
"384","0.9873","0.9873","0.9873"
"385","0.9871","0.9871","0.9871"
"386","0.986","0.986","0.986"
"387","0.9863","0.9863","0.9863"
"388","0.9874","0.9874","0.9874"
"389","0.9869","0.9869","0.9869"
"390","0.9869","0.9869","0.9869"
"391","0.9877","0.9877","0.9877"
"392","0.9868","0.9868","0.9868"
"393","0.988","0.988","0.988"
"394","0.9867","0.9867","0.9867"
"395","0.9876","0.9876","0.9876"
"396","0.9867","0.9867","0.9867"
"397","0.9866","0.9866","0.9866"
"398","0.9861","0.9861","0.9861"
"399","0.9865","0.9865","0.9865"
"400","0.9851","0.9851","0.9851"
"401","0.9866","0.9866","0.9866"
"402","0.9867","0.9867","0.9867"
"403","0.9873","0.9873","0.9873"
"404","0.9869","0.9869","0.9869"
"405","0.9871","0.9871","0.9871"
"406","0.9871","0.9871","0.9871"
"407","0.9867","0.9867","0.9867"
"408","0.9873","0.9873","0.9873"
"409","0.988","0.988","0.988"
"410","0.9875","0.9875","0.9875"
"411","0.9873","0.9873","0.9873"
"412","0.9883","0.9883","0.9883"
"413","0.9879","0.9879","0.9879"
"414","0.9877","0.9877","0.9877"
"415","0.9879","0.9879","0.9879"
"416","0.9877","0.9877","0.9877"
"417","0.9878","0.9878","0.9878"
"418","0.9883","0.9883","0.9883"
"419","0.9868","0.9868","0.9868"
"420","0.9884","0.9884","0.9884"
"421","0.9871","0.9871","0.9871"
"422","0.9883","0.9883","0.9883"
"423","0.987","0.987","0.987"
"424","0.9874","0.9874","0.9874"
"425","0.9883","0.9883","0.9883"
"426","0.9879","0.9879","0.9879"
"427","0.9873","0.9873","0.9873"
