"Step","exp_iid - test/acc","exp_iid - test/acc__MIN","exp_iid - test/acc__MAX"
"0","0.2776","0.2776","0.2776"
"1","0.5527","0.5527","0.5527"
"2","0.6808","0.6808","0.6808"
"3","0.6646","0.6646","0.6646"
"4","0.6952","0.6952","0.6952"
"5","0.7212","0.7212","0.7212"
"6","0.7707","0.7707","0.7707"
"7","0.8149","0.8149","0.8149"
"8","0.8321","0.8321","0.8321"
"9","0.8406","0.8406","0.8406"
"10","0.8396","0.8396","0.8396"
"11","0.8631","0.8631","0.8631"
"12","0.8723","0.8723","0.8723"
"13","0.8809","0.8809","0.8809"
"14","0.8868","0.8868","0.8868"
"15","0.8787","0.8787","0.8787"
"16","0.895","0.895","0.895"
"17","0.9006","0.9006","0.9006"
"18","0.9058","0.9058","0.9058"
"19","0.9048","0.9048","0.9048"
"20","0.91","0.91","0.91"
"21","0.9135","0.9135","0.9135"
"22","0.9128","0.9128","0.9128"
"23","0.9163","0.9163","0.9163"
"24","0.9189","0.9189","0.9189"
"25","0.9169","0.9169","0.9169"
"26","0.9203","0.9203","0.9203"
"27","0.9216","0.9216","0.9216"
"28","0.9245","0.9245","0.9245"
"29","0.9258","0.9258","0.9258"
"30","0.9262","0.9262","0.9262"
"31","0.9295","0.9295","0.9295"
"32","0.9287","0.9287","0.9287"
"33","0.9328","0.9328","0.9328"
"34","0.9331","0.9331","0.9331"
"35","0.9358","0.9358","0.9358"
"36","0.9346","0.9346","0.9346"
"37","0.9367","0.9367","0.9367"
"38","0.9395","0.9395","0.9395"
"39","0.9407","0.9407","0.9407"
"40","0.9404","0.9404","0.9404"
"41","0.9441","0.9441","0.9441"
"42","0.9429","0.9429","0.9429"
"43","0.9462","0.9462","0.9462"
"44","0.944","0.944","0.944"
"45","0.9438","0.9438","0.9438"
"46","0.9457","0.9457","0.9457"
"47","0.9434","0.9434","0.9434"
"48","0.9463","0.9463","0.9463"
"49","0.9481","0.9481","0.9481"
"50","0.9483","0.9483","0.9483"
"51","0.9509","0.9509","0.9509"
"52","0.9479","0.9479","0.9479"
"53","0.949","0.949","0.949"
"54","0.9499","0.9499","0.9499"
"55","0.9481","0.9481","0.9481"
"56","0.9501","0.9501","0.9501"
"57","0.9512","0.9512","0.9512"
"58","0.9541","0.9541","0.9541"
"59","0.9549","0.9549","0.9549"
"60","0.9537","0.9537","0.9537"
"61","0.9553","0.9553","0.9553"
"62","0.9569","0.9569","0.9569"
"63","0.9542","0.9542","0.9542"
"64","0.9558","0.9558","0.9558"
"65","0.956","0.956","0.956"
"66","0.9585","0.9585","0.9585"
"67","0.9575","0.9575","0.9575"
"68","0.9593","0.9593","0.9593"
"69","0.9586","0.9586","0.9586"
"70","0.9615","0.9615","0.9615"
"71","0.9598","0.9598","0.9598"
"72","0.9609","0.9609","0.9609"
"73","0.961","0.961","0.961"
"74","0.9612","0.9612","0.9612"
"75","0.9634","0.9634","0.9634"
"76","0.9639","0.9639","0.9639"
"77","0.964","0.964","0.964"
"78","0.9623","0.9623","0.9623"
"79","0.9645","0.9645","0.9645"
"80","0.9625","0.9625","0.9625"
"81","0.9633","0.9633","0.9633"
"82","0.9659","0.9659","0.9659"
"83","0.9662","0.9662","0.9662"
"84","0.9664","0.9664","0.9664"
"85","0.9651","0.9651","0.9651"
"86","0.9675","0.9675","0.9675"
"87","0.9659","0.9659","0.9659"
"88","0.9669","0.9669","0.9669"
"89","0.9679","0.9679","0.9679"
"90","0.9679","0.9679","0.9679"
"91","0.9681","0.9681","0.9681"
"92","0.9686","0.9686","0.9686"
"93","0.9689","0.9689","0.9689"
"94","0.9694","0.9694","0.9694"
"95","0.9692","0.9692","0.9692"
"96","0.9695","0.9695","0.9695"
"97","0.9664","0.9664","0.9664"
"98","0.9688","0.9688","0.9688"
"99","0.9692","0.9692","0.9692"
"100","0.97","0.97","0.97"
"101","0.9718","0.9718","0.9718"
"102","0.9715","0.9715","0.9715"
"103","0.9712","0.9712","0.9712"
"104","0.9707","0.9707","0.9707"
"105","0.971","0.971","0.971"
"106","0.9704","0.9704","0.9704"
"107","0.9724","0.9724","0.9724"
"108","0.9706","0.9706","0.9706"
"109","0.9716","0.9716","0.9716"
"110","0.9704","0.9704","0.9704"
"111","0.9716","0.9716","0.9716"
