"Step","ex_iid - test/acc","ex_iid - test/acc__MIN","ex_iid - test/acc__MAX"
"0","0.938","0.938","0.938"
"1","0.955","0.955","0.955"
"2","0.9645","0.9645","0.9645"
"3","0.9696","0.9696","0.9696"
"4","0.9714","0.9714","0.9714"
"5","0.9747","0.9747","0.9747"
"6","0.9763","0.9763","0.9763"
"7","0.9779","0.9779","0.9779"
"8","0.9789","0.9789","0.9789"
"9","0.9804","0.9804","0.9804"
"10","0.9802","0.9802","0.9802"
"11","0.9818","0.9818","0.9818"
"12","0.9817","0.9817","0.9817"
"13","0.983","0.983","0.983"
"14","0.9836","0.9836","0.9836"
"15","0.9832","0.9832","0.9832"
"16","0.9835","0.9835","0.9835"
"17","0.9849","0.9849","0.9849"
"18","0.9841","0.9841","0.9841"
"19","0.9855","0.9855","0.9855"
"20","0.9854","0.9854","0.9854"
"21","0.9863","0.9863","0.9863"
"22","0.9858","0.9858","0.9858"
"23","0.9858","0.9858","0.9858"
"24","0.9866","0.9866","0.9866"
"25","0.9865","0.9865","0.9865"
"26","0.9861","0.9861","0.9861"
"27","0.987","0.987","0.987"
"28","0.9862","0.9862","0.9862"
"29","0.986","0.986","0.986"
"30","0.9873","0.9873","0.9873"
"31","0.9863","0.9863","0.9863"
"32","0.987","0.987","0.987"
"33","0.9874","0.9874","0.9874"
"34","0.9877","0.9877","0.9877"
"35","0.9874","0.9874","0.9874"
"36","0.9873","0.9873","0.9873"
"37","0.9873","0.9873","0.9873"
"38","0.9876","0.9876","0.9876"
"39","0.9886","0.9886","0.9886"
"40","0.9883","0.9883","0.9883"
"41","0.9882","0.9882","0.9882"
"42","0.9888","0.9888","0.9888"
"43","0.9887","0.9887","0.9887"
"44","0.9885","0.9885","0.9885"
"45","0.9891","0.9891","0.9891"
"46","0.9886","0.9886","0.9886"
"47","0.9874","0.9874","0.9874"
"48","0.9874","0.9874","0.9874"
"49","0.9884","0.9884","0.9884"
"50","0.9886","0.9886","0.9886"
"51","0.9891","0.9891","0.9891"
"52","0.9894","0.9894","0.9894"
"53","0.9887","0.9887","0.9887"
"54","0.9896","0.9896","0.9896"
"55","0.9893","0.9893","0.9893"
"56","0.9893","0.9893","0.9893"
"57","0.9891","0.9891","0.9891"
"58","0.9901","0.9901","0.9901"
